event_date,name,img_url,race_link,event_name,location
2019-09-15,"Jakarta Kizuna Ekiden
15th September 2019",https://images.racetec.net/results/thumbs/19723/19723_64.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64,Jakarta Kizuna Ekiden,15th September 2019
2019-09-01,"Bromo Marathon
1 September 2019",https://images.racetec.net/results/thumbs/19723/19723_61.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61,Bromo Marathon,1 September 2019
2019-03-31,"Run Til You Drop 5
31 March 2019",https://images.racetec.net/results/thumbs/19723/19723_50.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50,Run Til You Drop 5,31 March 2019
2019-03-24,"BCA Super League Triathlon
Age Group Sprint & Enduro",https://images.racetec.net/results/thumbs/19723/19723_141.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141,BCA Super League Triathlon,Age Group Sprint & Enduro
2019-03-23,"BCA Super League Fun Run
10K & 5K",https://images.racetec.net/results/thumbs/19723/19723_47.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=47,BCA Super League Fun Run,10K & 5K
2019-02-24,"GFNY Bali 2019
24 February 2019, Klungkung",https://images.racetec.net/results/thumbs/19723/19723_46.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46,GFNY Bali 2019,"24 February 2019, Klungkung"
2018-12-22,"Bengkulu Triathlon
22 Desember 2018",https://images.racetec.net/results/thumbs/19723/19723_44.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=44,Bengkulu Triathlon,22 Desember 2018
2018-12-16,"Semarang 10K
16 December 2018",https://images.racetec.net/results/thumbs/19723/19723_42.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=42,Semarang 10K,16 December 2018
2018-11-25,"Satu Indonesia Run
Astra Biz Center BSD City",https://images.racetec.net/results/thumbs/19723/19723_43.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=43,Satu Indonesia Run,Astra Biz Center BSD City
2018-11-18,"Borobudur Marathon
18 November 2018",https://images.racetec.net/results/thumbs/19723/19723_41.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41,Borobudur Marathon,18 November 2018
2018-10-07,"COMBI RUN
QBIG BSD, October 7, 2018",https://images.racetec.net/results/thumbs/19723/19723_39.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=39,COMBI RUN,"QBIG BSD, October 7, 2018"
2018-09-30,"PALU NOMONI HALF MARATHON
September 30, 2018",https://images.racetec.net/results/thumbs/19723/19723_38.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=38,PALU NOMONI HALF MARATHON,"September 30, 2018"
2018-09-23,Jakarta Kizuna Ekiden,https://images.racetec.net/results/thumbs/19723/19723_40.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=40,Jakarta Kizuna Ekiden,
2018-09-23,"BROMO MARATHON 2018
September 23, 2018",https://images.racetec.net/results/thumbs/19723/19723_37.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=37,BROMO MARATHON 2018,"September 23, 2018"
2018-07-15,"BUKOPIN MAKASSAR MARATHON
July 15th, 2018 - Makassar",https://images.racetec.net/results/thumbs/19723/19723_32.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=32,BUKOPIN MAKASSAR MARATHON,"July 15th, 2018 - Makassar"
2018-04-21,"Sungailiat Triathlon
April 21, 2018, Bangka",https://images.racetec.net/results/thumbs/19723/19723_31.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31,Sungailiat Triathlon,"April 21, 2018, Bangka"
2018-04-15,"Central Celebes Marathon
April 15, 2018 - Palu, Central Sulawesi",https://images.racetec.net/results/thumbs/19723/19723_30.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=30,Central Celebes Marathon,"April 15, 2018 - Palu, Central Sulawesi"
